epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.935,1.83945,2.31052,1.66386,0.43223,0.32216,0.24539,0.11495,2.01099,5.18067,1.95307,0.0700495,0.00332783,0.00332783
2,447.928,1.72968,1.93206,1.59872,0.55901,0.32019,0.34912,0.17543,1.89537,2.13023,1.7748,0.040043,0.00665466,0.00665466
3,641.602,1.64402,1.74771,1.53771,0.52218,0.41093,0.46863,0.25289,1.78183,2.0817,1.70664,0.0100105,0.00995549,0.00995549
4,843.795,1.57296,1.61507,1.48675,0.62016,0.52202,0.55459,0.31998,1.59101,1.48956,1.53313,0.00991232,0.00991232,0.00991232
5,1025.49,1.51111,1.51298,1.44219,0.65471,0.47668,0.5031,0.28065,1.59133,1.59425,1.53378,0.00984449,0.00984449,0.00984449
6,1260.42,1.48781,1.46378,1.42271,0.68969,0.589,0.61843,0.36863,1.48407,1.36723,1.4554,0.00975773,0.00975773,0.00975773
7,1489.41,1.4542,1.4049,1.40017,0.72594,0.55139,0.6208,0.35512,1.58835,1.3605,1.50773,0.00965239,0.00965239,0.00965239
8,1683.68,1.41501,1.35251,1.37861,0.742,0.59373,0.66452,0.39339,1.48103,1.27967,1.43178,0.00952889,0.00952889,0.00952889
9,1873.46,1.40401,1.30661,1.36472,0.77349,0.62479,0.67032,0.40619,1.46024,1.22999,1.43055,0.00938772,0.00938772,0.00938772
10,2087.52,1.37783,1.27918,1.35455,0.70496,0.60932,0.67558,0.42887,1.36914,1.26068,1.36898,0.00922942,0.00922942,0.00922942
11,2282.42,1.35761,1.23099,1.33165,0.71332,0.68204,0.70595,0.44721,1.31752,1.08018,1.32587,0.00905463,0.00905463,0.00905463
12,2448.83,1.35264,1.22157,1.32893,0.79398,0.69139,0.75286,0.48595,1.30756,1.01863,1.32397,0.00886404,0.00886404,0.00886404
13,2636.57,1.33297,1.18694,1.32003,0.76015,0.69944,0.73604,0.46979,1.29083,1.04072,1.30709,0.00865839,0.00865839,0.00865839
14,2776.89,1.3179,1.16913,1.30822,0.74984,0.70827,0.73698,0.46395,1.32246,1.05305,1.32656,0.00843851,0.00843851,0.00843851
15,2918.31,1.3065,1.14822,1.29605,0.7567,0.71969,0.753,0.47942,1.29558,1.02483,1.30761,0.00820525,0.00820525,0.00820525
