epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6092,1.29542,3.2504,1.48573,0.74475,0.20592,0.27498,0.15697,1.55121,2.85581,1.67721,0.000366738,0.000366738,0.000366738
2,63.6101,1.19954,2.37699,1.38094,0.4559,0.41553,0.33066,0.17145,1.85989,2.61492,1.87369,0.000722477,0.000722477,0.000722477
3,93.0297,1.26092,2.19798,1.41765,0.40515,0.49761,0.42412,0.24592,1.67993,2.84429,1.83679,0.00106355,0.00106355,0.00106355
4,142.176,1.25285,2.01094,1.40891,0.55858,0.53936,0.4741,0.25852,1.72288,2.07281,1.89905,0.00104501,0.00104501,0.00104501
5,207.443,1.20597,1.83607,1.37562,0.64226,0.4876,0.52575,0.28843,1.68922,2.00515,1.79123,0.00102301,0.00102301,0.00102301
6,244.096,1.17911,1.73323,1.35861,0.51109,0.50366,0.51883,0.27946,1.59238,2.07384,1.64275,0.00100101,0.00100101,0.00100101
7,284.427,1.10858,1.61048,1.33004,0.69138,0.56594,0.60294,0.35007,1.62314,1.82511,1.77078,0.000979013,0.000979013,0.000979013
8,334.172,1.10706,1.54053,1.31048,0.7365,0.58051,0.65112,0.39272,1.5632,1.72594,1.65896,0.000957015,0.000957015,0.000957015
9,394.023,1.09235,1.47506,1.29258,0.71621,0.58957,0.61994,0.38248,1.47208,1.72709,1.58005,0.000935018,0.000935018,0.000935018
10,477.538,1.06104,1.39764,1.26846,0.65461,0.6623,0.66926,0.39656,1.51305,1.62549,1.62646,0.00091302,0.00091302,0.00091302
11,507.085,1.01089,1.35087,1.24925,0.83751,0.64694,0.7002,0.42589,1.453,1.4267,1.54148,0.000891022,0.000891022,0.000891022
12,534.433,1.0232,1.31702,1.23401,0.76461,0.60296,0.67061,0.42121,1.42771,1.56195,1.55404,0.000869024,0.000869024,0.000869024
13,557.208,1.00375,1.26349,1.2225,0.74867,0.66099,0.67915,0.42642,1.44268,1.47909,1.55514,0.000847026,0.000847026,0.000847026
14,579.326,0.98756,1.26537,1.23037,0.78913,0.64655,0.6842,0.443,1.38971,1.49137,1.46672,0.000825029,0.000825029,0.000825029
15,607.013,0.98243,1.19844,1.20475,0.77613,0.65307,0.67802,0.42134,1.44503,1.44349,1.52055,0.000803031,0.000803031,0.000803031
16,640.791,0.9584,1.18969,1.19786,0.84341,0.68724,0.7491,0.47272,1.38884,1.33194,1.47388,0.000781033,0.000781033,0.000781033
17,671.082,0.92788,1.17627,1.18404,0.79457,0.68768,0.71723,0.45605,1.40063,1.40251,1.50939,0.000759035,0.000759035,0.000759035
18,702.719,0.91274,1.13158,1.15891,0.82603,0.69784,0.73778,0.45954,1.35317,1.24288,1.46899,0.000737037,0.000737037,0.000737037
19,732.325,0.93388,1.13128,1.17548,0.79568,0.64661,0.7157,0.42981,1.3975,1.34863,1.48323,0.00071504,0.00071504,0.00071504
20,759.745,0.90716,1.08983,1.16557,0.80177,0.65999,0.71603,0.47486,1.31449,1.2454,1.45201,0.000693042,0.000693042,0.000693042
21,791.937,0.86238,1.06273,1.14167,0.84557,0.65915,0.74202,0.47235,1.36685,1.2442,1.48555,0.000671044,0.000671044,0.000671044
